Rank,Name,Score,Link,Avatar
167,SourishS17 (AoC++),132,https://github.com/SourishS17,https://avatars.githubusercontent.com/u/70473280?v=4
168,Aaron (AoC++),130,,https://avatars.githubusercontent.com/u/6079849?v=4
168,etotheipi1,130,,
168,Clancy Woodburn,130,,https://lh3.googleusercontent.com/a-/ALV-UjWdVQFN2NLuwndJRmJ_OJn6DvPrebmIZudJGRTfjifrYZbjZGmCjjlNqwwvFG3-dlhiGpizjBrW9c3_VR-KLWiHfyEk0PwlW2TH9haShfedbVk8lcEJPVc_Zv4p2zNXT99wRzm4XBIvyNMaWDzdKA
168,Ross Dempsey,130,,https://lh3.googleusercontent.com/a/ACg8ocL1E6QfVD7qy9HoXDA9uRIXeqA7UVW-HbfLh189aAsu8Q=s96-c
172,Austin,129,,https://avatars.githubusercontent.com/u/16217050?v=4
172,Vince7778,129,https://github.com/Vince7778,https://avatars.githubusercontent.com/u/32619800?v=4
172,Lau Xin Wei,129,https://github.com/xinweilau,https://avatars.githubusercontent.com/u/12653324?v=4
172,Mathijs Vogelzang,129,https://github.com/mathijs81,https://avatars.githubusercontent.com/u/118610?v=4
176,(anonymous user #2375057),124,,
176,bunceandbean (AoC++),124,https://github.com/bunceandbean,https://avatars.githubusercontent.com/u/49925505?v=4
176,carro,124,,https://avatars.githubusercontent.com/u/7104180?v=4
179,bradleysigma,123,,https://avatars.githubusercontent.com/u/42644678?v=4
179,Carl Oscar Aaro (AoC++),123,https://github.com/kalaspuff,https://avatars.githubusercontent.com/u/89139?v=4
181,(anonymous user #2724128),122,,
181,Martin Camacho,122,https://github.com/mcamac,https://avatars.githubusercontent.com/u/461009?v=4
181,Craig Silverstein,122,,https://lh3.googleusercontent.com/a/ACg8ocKLvCQjx2xeiilJF7euafWHeaJNIMHmPVIxZ0sLD-SNPdnk=s96-c
181,Vladislav Isenbaev,122,,https://avatars.githubusercontent.com/u/734585?v=4
185,thomasranieri,120,,https://avatars.githubusercontent.com/u/9074683?v=4
186,Alex Liang,119,,https://lh3.googleusercontent.com/a/ACg8ocJ-2Rh1F78-F79v2UHL-pcJtPMmmUjmGPOezBlBa0yduw=s96-c
186,Yik Chun Wong,119,,https://avatars.githubusercontent.com/u/26144242?v=4
186,Benedikt Werner,119,https://github.com/benediktwerner,https://avatars.githubusercontent.com/u/19309705?v=4
186,Robert Usher,119,https://github.com/dcchut,https://avatars.githubusercontent.com/u/266585?v=4
190,Md Abedin,118,https://github.com/MdAbedin,https://avatars.githubusercontent.com/u/18149939?v=4
190,TimHuisman1703 (AoC++),118,https://github.com/TimHuisman1703,https://avatars.githubusercontent.com/u/71648894?v=4
192,AdamHe17 (AoC++),116,,https://avatars.githubusercontent.com/u/9707747?v=4
193,masecla22,115,https://github.com/masecla22,https://avatars.githubusercontent.com/u/21177004?v=4
193,zero,115,https://github.com/0xzer,https://avatars.githubusercontent.com/u/108243503?v=4
195,Nick Liu,114,https://github.com/nicku12345,https://avatars.githubusercontent.com/u/68750811?v=4
196,ovs-code (AoC++),113,,https://avatars.githubusercontent.com/u/17097105?v=4
197,Dragon-Hatcher,112,https://github.com/Dragon-Hatcher,https://avatars.githubusercontent.com/u/64214386?v=4
198,thuustalu,111,,https://avatars.githubusercontent.com/u/33181254?v=4
198,Brandon Young,111,,https://lh3.googleusercontent.com/a/ACg8ocLur9t1HvOgAQ5phFd3KLJJMLVgwSQKhO4SlPYj_Z94Eg=s96-c
200,Sreeram Ramachandran,110,https://github.com/r-sreeram,https://avatars.githubusercontent.com/u/11063840?v=4
200,jwseph,110,https://github.com/jwseph,https://avatars.githubusercontent.com/u/96963864?v=4
202,nife,108,,https://lh3.googleusercontent.com/a/ACg8ocKWEI-Y9zl3sW0hsvekpiJ1NHnqr4JpXE6_TZxtNlRI2A=s96-c
203,leonard-weininger,107,https://github.com/leonard-weininger,https://avatars.githubusercontent.com/u/138626249?v=4
204,Jc,106,https://github.com/jcw-,https://avatars.githubusercontent.com/u/6880880?v=4
205,Josh Taylor,105,https://github.com/joshbtay,https://avatars.githubusercontent.com/u/74023548?v=4
205,Ben,105,,https://avatars.githubusercontent.com/u/66845228?v=4
205,HertzDevil,105,https://github.com/HertzDevil,https://avatars.githubusercontent.com/u/1361918?v=4
205,a5a7,105,,https://avatars.githubusercontent.com/u/20941871?v=4
209,Proximity Trigger,104,,https://lh3.googleusercontent.com/a/ACg8ocJmxgXpfvwDDKoIIm6_n-x0uLeYuTu5-9mFcCCDygSq8g=s96-c
209,horo,104,,https://avatars.githubusercontent.com/u/143025439?v=4
211,Hannah Rose,103,https://github.com/HannahRose578,https://avatars.githubusercontent.com/u/52452654?v=4
211,Dušan Minić,103,,https://avatars.githubusercontent.com/u/127935531?v=4
213,phenomist,102,https://github.com/phenomist,https://avatars.githubusercontent.com/u/6995015?v=4
214,Ahmed Siadomar,101,,https://lh3.googleusercontent.com/a/ACg8ocL7D72GZ7rVfGYtuPVtxR9t5_8iC-nAbFmK_SYztSxO=s96-c
214,Jeffrey Meng,101,https://github.com/jeffreymeng,https://avatars.githubusercontent.com/u/15185258?v=4
216,(anonymous user #640116),100,,
216,Paul Martinez (Sponsor),100,,https://lh3.googleusercontent.com/a/ACg8ocJDxQYb_dYqZaidTyRh4qlpAaOrdtwv2YfrHWr8qkq57w=s96-c
216,Jonas Haller,100,,https://lh3.googleusercontent.com/a/ACg8ocJUCEqCvOFnxFWpF73jZ2CnDipnbvdptjq_BDy51eBz=s96-c
216,siraben,100,https://github.com/siraben,https://avatars.githubusercontent.com/u/8219659?v=4
220,Elmer Le,99,,https://lh3.googleusercontent.com/a/ACg8ocKXbgqvQBJMscO9fk1OdsA0dna1t7rYeKEsYDtmIIog7Q=s96-c
221,Maxim Volkov,97,,https://avatars.githubusercontent.com/u/43152077?v=4
221,andriigrynenko,97,https://github.com/andriigrynenko,https://avatars.githubusercontent.com/u/7255704?v=4
221,Albert Tam,97,https://github.com/tam-albert,https://avatars.githubusercontent.com/u/68077591?v=4
224,piman51277,96,https://github.com/piman51277,https://avatars.githubusercontent.com/u/44853490?v=4
225,Josh Leverette,95,https://github.com/coder543,https://avatars.githubusercontent.com/u/726063?v=4
226,(anonymous user #3494850),94,,
227,mdlu (AoC++),93,https://github.com/mdlu,https://avatars.githubusercontent.com/u/42189754?v=4
227,Olle Lapidus,93,,https://lh3.googleusercontent.com/a/ACg8ocLjJ434N6hGxIP_ZfwrTZwQRZ6hRxR_hKUlMdpm9gYz=s96-c
227,epsalon (AoC++),93,https://github.com/epsalon,https://avatars.githubusercontent.com/u/11400004?v=4
230,F2 (AoC++),92,,https://avatars.githubusercontent.com/u/916098?v=4
230,ericlovesmath,92,https://github.com/ericlovesmath,https://avatars.githubusercontent.com/u/17755970?v=4
230,Yan Kang Lee,92,,https://lh3.googleusercontent.com/a/ACg8ocJXJ5wdEpQd_Wbic_5WfUHgJBA4ZFs60NJLlhFo7CWg=s96-c
233,tesselslate,90,,https://avatars.githubusercontent.com/u/46545045?v=4
233,RobertDWhite,90,https://github.com/RobertDWhite,https://avatars.githubusercontent.com/u/284899?v=4
233,Adrian Smith,90,,https://lh3.googleusercontent.com/a/ACg8ocL81qIrydD9GLnd6cxxBpowl8edIKIGhobqPC-aFS6H=s96-c
233,Eero Väkiparta,90,https://github.com/EeroVakiparta,https://avatars.githubusercontent.com/u/41569318?v=4
237,anominos,89,,https://lh3.googleusercontent.com/a/ACg8ocLevgnC7pxGyYIAbZ2P5TA4qN94fhoamSmsIyHCnmR8=s96-c
238,Giacomo Stevanato,88,,https://lh3.googleusercontent.com/a/ACg8ocLSWC3RP66X-0Fh1o-vBhYLFpdBwO6BEvHTijhnf8BMTA=s96-c
238,aropan,88,,https://avatars.githubusercontent.com/u/1968460?v=4
240,mangoqwq,87,https://github.com/mangoqwq,https://avatars.githubusercontent.com/u/42144305?v=4
240,downvoid,87,,https://lh3.googleusercontent.com/a/ACg8ocK72B78IIrW3tOiTEWNKnIhgK7yQxK4cmEaIUrUcrSoNQ=s96-c
242,tbodt,85,https://github.com/tbodt,https://avatars.githubusercontent.com/u/5678977?v=4
243,yusent,84,https://github.com/yusent,https://avatars.githubusercontent.com/u/2147341?v=4
243,Mihhail Novik,84,,https://avatars.githubusercontent.com/u/573011?v=4
245,Carson Graham,83,https://github.com/Mee42,https://avatars.githubusercontent.com/u/39016114?v=4
245,Chris Rectenwald,83,,https://lh3.googleusercontent.com/a/ACg8ocLAIHCugPgPFIWMWsKa2YHJS3Sla4EeyacT4MOzEpCb=s96-c
247,(anonymous user #975121),82,,
247,LK,82,https://github.com/LK,https://avatars.githubusercontent.com/u/975916?v=4
247,Maks Verver,82,https://github.com/maksverver,https://avatars.githubusercontent.com/u/595620?v=4
247,dllu,82,https://github.com/dllu,https://avatars.githubusercontent.com/u/14482624?v=4
251,Jake Williams,81,,https://lh3.googleusercontent.com/a/ACg8ocKu2nEZsxOcCRRiDHS5MJI3JAxC7kiVpfFKL9tTyTve=s96-c
251,RootCubed (AoC++),81,https://github.com/RootCubed,https://avatars.githubusercontent.com/u/41953062?v=4
253,Manish Kundu,80,https://github.com/iammanish17,https://avatars.githubusercontent.com/u/35730135?v=4
253,Jieruei Chang,80,https://github.com/knosmos,https://avatars.githubusercontent.com/u/30610197?v=4
